0	1	2	0	0	1	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	1	0	0	0	0	0	0	2	2	2	0	0	0	2	2	2	3	5	5	8	10	10	11	10	10	7	5	4	3	2	2	2	1	0	0	0	5	10	11	12	11	13	13	15	15	15	15	11	7	9	10	8	6	2	2	6	4	
0	4	5	4	4	6	9	10	11	12	12	9	7	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	6	9	11	14	14	16	14	13	13	13	13	13	13	13	12	9	7	6	6	9	12	12	13	14	13	13	15	15	15	15	14	11	13	12	11	9	3	3	9	6	
1	4	6	4	4	7	9	10	11	12	11	9	6	5	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	7	9	11	14	15	15	13	13	12	12	12	12	12	12	11	9	6	6	6	9	11	12	13	14	13	13	15	15	15	14	12	9	15	14	13	11	7	6	12	9	
3	6	7	4	2	3	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	7	10	10	10	7	7	5	4	3	3	3	3	3	2	1	2	3	6	10	10	10	11	10	10	13	12	11	12	10	8	14	14	13	14	8	7	13	9	
4	9	9	6	3	4	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	6	7	10	10	10	7	7	5	4	3	3	3	3	3	2	1	1	1	3	5	5	6	7	7	8	11	11	12	13	11	9	14	14	14	15	8	7	12	8	
5	11	12	10	5	6	6	4	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	5	5	5	3	3	3	3	3	3	3	3	3	2	1	1	1	3	4	4	4	4	3	3	5	6	7	8	7	6	12	14	15	15	8	7	11	7	
6	12	12	11	5	6	5	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	4	4	2	2	2	2	2	2	2	2	2	2	1	1	1	2	3	3	3	3	2	2	4	5	6	7	6	5	13	15	16	16	8	7	10	6	
6	12	13	12	5	5	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	4	5	6	7	5	5	13	15	16	17	8	7	9	5	
6	14	14	13	5	5	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	6	4	4	11	14	14	14	7	7	8	2	
5	14	13	13	4	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	1	1	8	9	9	9	4	4	4	1	
5	14	13	12	4	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	1	1	8	9	9	9	5	5	4	2	
8	15	14	12	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	8	9	5	5	13	14	14	14	9	9	7	4	
